Song,Artist,First_Week
Tell Me Something I Don't Know,Selena Gomez & the Scene,2025-01-17
bye,Ariana Grande,2025-01-17
Hit That Drum,Red Velvet,2025-01-17
Letterbomb,Green Day,2025-01-17
Umpah Umpah,Red Velvet,2025-01-17
My Second Date,Red Velvet,2025-01-17
Don't U Wait No More,Red Velvet,2025-01-17
My Boy Only Breaks His Favorite Toys,Taylor Swift,2025-01-17
Please Take Me Home,blink-182,2025-01-17
Give Me One Good Reason,blink-182,2025-01-17
Story of a Lonely Guy,blink-182,2025-01-17
Watching T.V.,Magdalena Bay,2025-01-17
Murder City,Green Day,2025-01-17
Walk Away,Kelly Clarkson,2025-01-17
Can't Stop,Red Hot Chili Peppers,2025-01-17
Back in the USA,Green Day,2025-01-17
Come as You Are,Nirvana,2025-01-17
Brutal Love,Green Day,2025-01-17
NEXT PAGE,TWICE,2025-01-24
Supersonic,fromis_9,2025-01-24
PIT-A-PAT,TWICE,2025-01-24
1 TO 10,TWICE,2025-01-24
PONYTAIL,TWICE,2025-01-24
The Ballad Of Matt & Mica,Magdalena Bay,2025-01-24
Angel On A Satellite,Magdalena Bay,2025-01-24
Cry For Me,Magdalena Bay,2025-01-24
Feeling Diskinserted?,Magdalena Bay,2025-01-24
Love Is Everywhere,Magdalena Bay,2025-01-24
Vampire In The Corner,Magdalena Bay,2025-01-24
Fear Sex,Magdalena Bay,2025-01-24
True Blue Interlude,Magdalena Bay,2025-01-24
Killing Time,Magdalena Bay,2025-01-24
She Looked Like Me!,Magdalena Bay,2025-01-24
closure,Taylor Swift,2025-01-24
Style (Taylor's Version),Taylor Swift,2025-01-24
ONE IN A MILLION,TWICE,2025-01-24
Strategy,TWICE,2025-01-24
Magical,TWICE,2025-01-24
Keeper,TWICE,2025-01-24
Sweetest Obsession,TWICE,2025-01-24
Like It Like It,TWICE,2025-01-24
Kiss My Troubles Away,TWICE,2025-01-24
Strategy (feat. Megan Thee Stallion),TWICE,2025-01-24
Jet Lag (feat. Natasha Bedingfield),Simple Plan,2025-01-31
The Bolter,Taylor Swift,2025-01-31
Push,Matchbox Twenty,2025-01-31
FEARLESS,LE SSERAFIM,2025-01-31
Fortnight (feat. Post Malone),Taylor Swift,2025-01-31
Wherever You Will Go,The Calling,2025-01-31
Good Riddance (Time of Your Life),Green Day,2025-01-31
Hitchin' a Ride,Green Day,2025-01-31
How Sweet,NewJeans,2025-01-31
The Story of Us (Taylor's Version),Taylor Swift,2025-01-31
Before the Lobotomy,Green Day,2025-01-31
Let Me Go (feat. Chad Kroeger),Avril Lavigne,2025-01-31
The Very First Night (Taylor's Version) (From the Vault),Taylor Swift,2025-01-31
Better Man (Taylor's Version) (From the Vault),Taylor Swift,2025-01-31
Blood - Hidden Track,My Chemical Romance,2025-01-31
the bottom,Gracie Abrams,2025-01-31
Supernatural,NewJeans,2025-01-31
Helena,My Chemical Romance,2025-01-31
King for a Day,Green Day,2025-01-31
Eyes Open (Taylor's Version),Taylor Swift,2025-02-07
Good Graces,Sabrina Carpenter,2025-02-07
Espresso,Sabrina Carpenter,2025-02-07
Bed Chem,Sabrina Carpenter,2025-02-07
Coincidence,Sabrina Carpenter,2025-02-07
Sharpest Tool,Sabrina Carpenter,2025-02-07
Please Please Please,Sabrina Carpenter,2025-02-07
How Far We've Come,Matchbox Twenty,2025-02-07
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),Taylor Swift,2025-02-07
Don’t Smile,Sabrina Carpenter,2025-02-07
Lie to Girls,Sabrina Carpenter,2025-02-07
Slim Pickins,Sabrina Carpenter,2025-02-07
Dumb & Poetic,Sabrina Carpenter,2025-02-07
All Too Well (Taylor's Version),Taylor Swift,2025-02-07
Bent,Matchbox Twenty,2025-02-07
If You're Gone,Matchbox Twenty,2025-02-07
Give Me Novacaine,Green Day,2025-02-07
Holy Ground (Taylor's Version),Taylor Swift,2025-02-07
Red (Taylor's Version),Taylor Swift,2025-02-07
