Song,Artist,First_Week
Sweet but Psycho,Ava Max,2020-05-22
Up & Down,EXID,2020-05-22
Cry Baby,Melanie Martinez,2020-05-22
Shoot Me,DAY6,2020-05-22
Pirate King,ATEEZ,2020-05-22
Hollaback Girl,Gwen Stefani,2020-05-22
That's What You Get,Paramore,2020-05-22
Picture to Burn,Taylor Swift,2020-05-22
Dollhouse,Melanie Martinez,2020-05-22
Valkyrie,ONEUS,2020-05-29
Scars to Your Beautiful,Alessia Cara,2020-05-29
Victorious,Panic! at the Disco,2020-05-29
Happy,WJSN,2020-05-29
Love & Live,LOOΠΔ 1/3,2020-05-29
High Hopes,Panic! at the Disco,2020-05-29
KeePer (Prod. PARK KYUNG),THE BOYZ,2020-05-29
Cake,Melanie Martinez,2020-05-29
Grrr 총량의 법칙,Stray Kids,2020-05-29
Bad Blood,Taylor Swift,2020-05-29
4 Walls,f(x),2020-05-29
Hallucinate,Dua Lipa,2020-05-29
Pity Party,Melanie Martinez,2020-05-29
Scream,Dreamcatcher,2020-05-29
Here's to Never Growing Up,Avril Lavigne,2020-05-29
Automatic,Red Velvet,2020-05-29
Oops!...I Did It Again,Britney Spears,2020-05-29
So What,Loona,2020-05-29
HIP,MAMAMOO,2020-05-29
Babe (feat. Taylor Swift),Sugarland,2020-05-29
Eclipse,Loona,2020-05-29
Look What You Made Me Do,Taylor Swift,2020-05-29
Tell Me Something I Don't Know,Selena Gomez & the Scene,2020-05-29
Toxic,Britney Spears,2020-05-29
Chewing Gum,NCT DREAM,2020-05-29
SWEET SUMMER DAY,TWICE,2020-06-05
MAKE ME GO,TWICE,2020-06-05
FIREWORK,TWICE,2020-06-05
OXYGEN,TWICE,2020-06-05
MORE & MORE,TWICE,2020-06-05
DON'T CALL ME AGAIN,TWICE,2020-06-05
SHADOW,TWICE,2020-06-05
So What,이달의 소녀 (Loona),2020-06-05
Butterflies,Zendaya,2020-06-05
Ain't Your Mama,Jennifer Lopez,2020-06-05
Work Bitch,Britney Spears,2020-06-05
Wave,ATEEZ,2020-06-05
Stay Tonight,CHUNG HA,2020-06-05
Rain On Me,Lady Gaga/Ariana Grande,2020-06-05
Illusion,ATEEZ,2020-06-05
Sour Candy,Lady Gaga & BLACKPINK,2020-06-05
Woman Like Me (feat. Nicki Minaj),Little Mix,2020-06-19
Blank Space,Taylor Swift,2020-06-19
Sweet Crazy Love,LOOΠΔ / ODD EYE CIRCLE,2020-06-19
CLAP,Seventeen,2020-06-19
TiK ToK,Kesha,2020-06-19
Sucker For Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,2020-06-19
Bad Boy,Red Velvet,2020-06-19
ICY,ITZY,2020-06-19
Rumor,H.I.N.P (Hot Issue of Ntl. Producers),2020-06-19
Gotta Go,CHUNG HA,2020-06-19
