Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2026-02-20,74,'-6,68,False,False,46,0.0,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,3,3,1,15,9,2,4028062,704,10549530,0.65,0.07,0.27,22932,26,13,7,3,48,2,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,75,'-55,20,False,False,45,-0.7,I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,1,3,0,0,0,0,0,0,0,0,0,0,0,45,0,20,23,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,76,'-13,63,False,False,44,-0.15,Tears,Sabrina Carpenter,Man’s Best Friend,4,4,1,10,6,2,2679600,468,10526940,0.58,0.06,0.36,16345,18,15,11,14,19,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2026-02-20,77,NEW,--,True,False,42,--,Yes I'm Changing,Tame Impala,Currents,5,5,1,25,15,2,7161000,1252,11249820,0.73,0.08,0.18,38423,42,0,0,77,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,78,NEW,--,True,False,42,--,The Moment,Tame Impala,Currents,5,5,1,25,15,2,7882875,1378,12379320,0.73,0.08,0.18,42273,42,0,0,78,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,79,NEW,--,True,False,42,--,Past Life,Tame Impala,Currents,5,5,1,25,15,2,7059937,1234,11091690,0.73,0.08,0.18,37884,42,0,0,79,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,80,NEW,--,True,False,42,--,Ocean Avenue,Yellowcard,Ocean Avenue,6,2,3,30,6,6,8974350,523,35240400,0.6,0.02,0.38,40117,42,0,0,80,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/2770e3f5cad964e46dbe9e2c3d84be42.png
2026-02-20,81,NEW,--,True,False,42,--,Nangs,Tame Impala,Currents,5,5,1,25,15,2,7724062,1350,12130830,0.73,0.08,0.18,41426,42,0,0,81,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,82,NEW,--,True,False,42,--,Let It Happen,Tame Impala,Currents,5,5,1,25,15,2,7161000,1252,11249820,0.73,0.08,0.18,38423,42,0,0,82,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,83,NEW,--,True,False,42,--,Gossip,Tame Impala,Currents,5,5,1,25,15,2,6670124,1166,10481760,0.73,0.08,0.18,35805,42,0,0,83,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
