Song Name,Artist Name,Image Link,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-13,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2021-01-01
Body Talk,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
ICY,ITZY,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
SAY IT AGAIN,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Snap Shoot,Seventeen,,,,,,,,,,,,,,,,12,,,,70,,,,,,,,,20,,
Bad Blood,Taylor Swift,,,,,,,16,,,,,,,,,,,,,,32,,,,,,,,,,
Lovesick Girls,BLACKPINK,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
Kiss and Make Up,Dua Lipa BLACKPINK,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,
Double Knot,Stray Kids,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Love Song: Part II,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Sweet Crazy Love,이달의 소녀 오드아이써클 (LOONA/ODD EYE CIRCLE),,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
Both Of Us (Feat.Taylor Swift),Taylor Swift & B.O.B,,2,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
Lion Heart,소녀시대,,,,,,,,,,,,,,,,,,,12,,,,18,3,,,,,,,22
HIT,Seventeen,,,,15,6,,8,,,,,,,,,,,,,,,,,,,,,,,,
...Baby One More Time,Britney Spears,,16,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,
Monster,Red Velvet - IRENE & SEULGI,,,,,,,,,,,,,,,,,1,,,69,,20,,5,,,,,,,
Lullaby,GOT7 (갓세븐),,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starry Night,MAMAMOO,,65,,,,,,,,,,,,,,,,,,72,,,,,,,,,,16,
Ridin',NCT DREAM,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
I Wait,DAY6,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWEET SUMMER DAY,TWICE,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,5,,1
Hotter Than Hell,Dua Lipa,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
Girls Girls Girls,GOT7 - PlanetLagu.com,,38,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Lemonade,TWICE,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
Dumb Dumb,Red Velvet (레드벨벳),,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Boy,Red Velvet (레드벨벳),,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About Love,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Only You,Little Mix Cheat Codes,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When You Love Someone,DAY6,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN,TWICE,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,4,,
Star (목소리 English Ver.),이달의 소녀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
Strawberry Shortcake,Melanie Martinez,,,,16,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Never Really Over,Katy Perry,,8,5,,,,4,,,,,,,,,,,,,,,,,,,,,,7,,14
BOYS LIKE YOU,dodie,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
One More Time,TWICE (트와이스),,85,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,
세계가 불타버린 밤 우린... (Can't You See Me?),TXT,,,,,,,,,,,,,,,,,,,,37,,,,,,,18,,,,
So What,Loona,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
STOP,Stray Kids (스트레이 키즈),,,,,,,,,3,,,,,,,,,,,87,,,,,,,,,,,
Double Knot,Stray Kids (스트레이 키즈),,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
Don’t Need Your Love,NCT DREAM HRVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,
LION,(G)I-DLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
FANCY,TWICE,,,8,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,
When You're Gone,Avril Lavigne,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jopping,SuperM,,,,,,,,,,,,,,,,24,,,,90,,,,,,,,,,,
Illusion,ATEEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
