Song Name,Artist Name,Album Name,Image Link,2022-12-30,2023-01-06,2023-01-13,2023-01-20,2023-01-27,2023-02-03,2023-02-10,2023-02-17,2023-02-24,2023-03-03,2023-03-10,2023-03-17,2023-03-24,2023-03-31,2023-04-07,2023-04-14,2023-04-21,2023-04-28,2023-05-05,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-23,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29
Spoliarium,Eraserheads,Sticker Happy,https://lastfm.freetls.fastly.net/i/u/300x300/cbb5df9149a64107bd5f94ba93ccd588.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With A Smile,Eraserheads,Circus,https://lastfm.freetls.fastly.net/i/u/300x300/377b34acbbb94e1081b9701d16f809a7.png,,,6,13,,17,39,45,50,,,,,,,,,,,,,,46,,29,75,,,,,,,61,,,,,,,,,,,,,,,,,,,,
Ayokong Tumanda,The Itchyworms,After All This Time,https://lastfm.freetls.fastly.net/i/u/300x300/662a28a83afbcecc7e9584488de43a8c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpleng Tao,Gloc-9,G9,https://lastfm.freetls.fastly.net/i/u/300x300/4ae0e5854a1996b392740dda3cbd48cf.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alapaap,Eraserheads,Circus,https://lastfm.freetls.fastly.net/i/u/300x300/377b34acbbb94e1081b9701d16f809a7.png,,,,,,,,,,,,,,,,,,,,,,,,26,38,60,,1,4,6,25,59,17,24,30,58,35,36,22,,14,21,31,63,41,27,37,31,35,19,37,32,44
Love Story Ko,Gloc-9,Ako Si,https://lastfm.freetls.fastly.net/i/u/300x300/381ea996447cde46507503522a778c18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinahanap Ng Puso,Gloc-9,G9,https://lastfm.freetls.fastly.net/i/u/300x300/4ae0e5854a1996b392740dda3cbd48cf.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipagpatawad Mo,Gloc-9,Ako Si,https://lastfm.freetls.fastly.net/i/u/300x300/381ea996447cde46507503522a778c18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magbalik,Callalily,Destination XYZ,https://lastfm.freetls.fastly.net/i/u/300x300/938312078b8a4a71ca68e82aa0abe444.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwag Kang Matakot,Eraserheads,Natin 99,https://lastfm.freetls.fastly.net/i/u/300x300/56590a123a734b9ba59f83d5ce9c8840.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack),December Avenue,Langit Mong Bughaw,https://lastfm.freetls.fastly.net/i/u/300x300/27e2901c2ed89d33ff1cab15ae40c589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsan,Eraserheads,Circus,https://lastfm.freetls.fastly.net/i/u/300x300/377b34acbbb94e1081b9701d16f809a7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,25,41,60,70,,,,,,44,,84,,,81,,,,,,,,,
Pare Ko,Eraserheads,Ultraelectromagneticpop!,https://lastfm.freetls.fastly.net/i/u/300x300/73cea1e308f6446aa2aea4001a57d28a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwag Mo Nang Itanong,Eraserheads,Cutterpillow,https://lastfm.freetls.fastly.net/i/u/300x300/4590ad4edc668abe4d9f9419e05cd3a4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa Ngalan Ng Pag-Ibig,December Avenue,Langit Mong Bughaw,https://lastfm.freetls.fastly.net/i/u/300x300/27e2901c2ed89d33ff1cab15ae40c589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdrive,Eraserheads,Anthology,https://lastfm.freetls.fastly.net/i/u/300x300/c328d056b29220f83268f47ce9971562.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,
Akin Ka Na Lang,The Itchyworms,Noon Time Show,https://lastfm.freetls.fastly.net/i/u/300x300/b55989326e53ee18b59dc6b4385e69dd.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harana,Eraserheads,Anthology,https://lastfm.freetls.fastly.net/i/u/300x300/c328d056b29220f83268f47ce9971562.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisapmata,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa'yo,Silent Sanctuary,Monodramatic,https://lastfm.freetls.fastly.net/i/u/300x300/fbaa60e08b664876c82f1098fa3bd802.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walang Natira (Feat. Sheng Belmonte),Gloc-9,Talumpati,https://lastfm.freetls.fastly.net/i/u/300x300/067a8c902b519d33f2acd34171eec38b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awit Ng Kabataan,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumalik Ka Na Sa'kin,Silent Sanctuary,Monodramatic,https://lastfm.freetls.fastly.net/i/u/300x300/fbaa60e08b664876c82f1098fa3bd802.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebound,Silent Sanctuary,Fuchsiang Pag-Ibig,https://lastfm.freetls.fastly.net/i/u/300x300/16dbb9dd88cc0d320fb4b909b29e4597.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sa Dulo Ng Walang Hanggan (Sa Ngalan Ng Pag-Ibig Piano Version),December Avenue,Langit Mong Bughaw,https://lastfm.freetls.fastly.net/i/u/300x300/27e2901c2ed89d33ff1cab15ae40c589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maalala Mo Sana,Silent Sanctuary,Sana Maulit Muli (Original Motion Picture Soundtrack),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kundiman,Silent Sanctuary,Fuchsiang Pag-Ibig,https://lastfm.freetls.fastly.net/i/u/300x300/16dbb9dd88cc0d320fb4b909b29e4597.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eroplanong Papel,December Avenue,December Avenue,https://lastfm.freetls.fastly.net/i/u/300x300/0ca594d8cbe6381e3388c934456b5874.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di Na Muli,The Itchyworms,Sid & Aya (Not A Love Story) [Original Movie Soundtrack],https://lastfm.freetls.fastly.net/i/u/300x300/65a55c7f3620f9a0890ede369dee7f74.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clouds,Any Name's Okay,Clouds,https://lastfm.freetls.fastly.net/i/u/300x300/7a4eb756fbd665c41e3bbdd0fb5367f1.jpg,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,14,24,43,41,40,31,34,45,62,41,37,39,,,81,,,,,82,,,,,,,
Yugto,Any Name's Okay,Yugto,https://lastfm.freetls.fastly.net/i/u/300x300/48c355e67ff4f5949f69f5db997480fa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,https://lastfm.freetls.fastly.net/i/u/300x300/7acceb152546ad0e3ed43a9316ab4c16.png,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,18,24,35,21,32,33,52,47,34,35,35,,54,48,42,60,60,78,,,88,,,,
Lando (feat. Francis M.),Gloc-9,Diploma,https://lastfm.freetls.fastly.net/i/u/300x300/5e5a17fc7f60d12a38645a478fc13b2d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulan,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuwing Umuulan At Kapiling Ka,Eraserheads,Anthology,https://lastfm.freetls.fastly.net/i/u/300x300/c328d056b29220f83268f47ce9971562.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahit Di Mo Alam,December Avenue,Langit Mong Bughaw,https://lastfm.freetls.fastly.net/i/u/300x300/27e2901c2ed89d33ff1cab15ae40c589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulong,December Avenue,Langit Mong Bughaw,https://lastfm.freetls.fastly.net/i/u/300x300/27e2901c2ed89d33ff1cab15ae40c589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung Ayaw Mo Huwag Mo,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hari Ng Tondo (Live),Gloc-9,Biyahe Ng Pangarap,https://lastfm.freetls.fastly.net/i/u/300x300/4869eadf5f7b9e4f10b9707f125fc554.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In My Arms Is Where I'll Keep You,December Avenue,In My Arms Is Where I'll Keep You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kailan?,Maki,Tanong,https://lastfm.freetls.fastly.net/i/u/300x300/0c5306919ad687e15c795a8dfdf768b7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saan?,Maki,Saan?,https://lastfm.freetls.fastly.net/i/u/300x300/3f84936550a7ae617151b5b4ab8703c7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
