Song Name,Artist Name,Image Link,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
River Lea,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,22,,,,,,40,,,,,
Hot n Cold,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
LION,(G)I-DLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
Work,Iggy Azalea,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,64,,,,41,,,,,,,,,,,
I'll be there,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
White Horse,Taylor Swift,,,,,,,14,,,,21,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Were Happy (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,6,9,14,6,,,,10,,,18,,,,,,34,,,,50,,,,,,,,,,20,,,54,,62,,
State of Grace (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,16,,28,,
Love Me Harder,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
We Can't Stop,Miley Cyrus,,,,,,,,,,,,,,,,,,,,,,,,33,,,,21,,,,,,,,,,,68,,,,,,,,,,,,,,64,57
breathin,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,
Universe,EXO,,,,,,,,,,,,,8,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Maroon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,44,,,,,,,,,,,,,,,,
SCIENTIST - R3HAB Remix,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,
BOYS LIKE YOU,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
As Long as You Love Me,Justin Bieber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,39,,,,,,,,,,,
Better Man (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,5,12,,6,4,22
ข้างๆ - เพลงประกอบซีรีส์ ปลาบนฟ้า,หลุยส์ ธณวิน,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Feel Special,TWICE,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,10,,,,8,,,,,,,12,,27,,,,,,,,,64,,81,,
All Night,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Come Back...Be Here (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,,,14,84
I Kissed Someone (It Wasn't You),dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
Trumpets,Jason Derulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
Getaway Car,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,9,,,22,,,,,,,,,,13
Tennis Court,Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
sirena,Gloc-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
Bad Boy,Red Velvet,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,62,,,38,50,,34,,,58,60,,,,,,,,,,,,,,72,
La La Land,Demi Lovato,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boy,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
Honeymoon Avenue,Ariana Grande,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touch,Little Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,2,,,,,,,,,9,41,
TO BE OR NOT TO BE,원어스 (ONEUS),,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소방차 Fire Truck,NCT 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,21,,,,,39,,,,,,,,,,,,,,,,
State of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,52,
Confident,Demi Lovato,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,33,,,,69,37,,,65,,,,,,18,,,,,,,,,,,74
Universe,Loona,,,,,,,,,,,,,,,,,,,,,,,21,,,15,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,
Carousel,Melanie Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,,,,,,,,,,,,,31,,17
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,43,26,75,37,89
IDGAF,Dua Lipa,,,,,,,,,,4,,,,,,,,31,49,,,,,,,,,,,,,,62,,,,,,66,,,,,,,,,,,,,,,
Same Old Love,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,69,,43,27,,,,,,,,,,68,,
WAP (feat. Megan Thee Stallion),Cardi B,,,,,,,,,6,,1,,,1,12,,,,,,,,,2,,,,3,,,,,,,,,,8,,24,52,,,,,,,,,73,,,79,
Grenade,Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,80
A.D.I.D.A.S.,Little Mix,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,37,,,58,,29,,,,,,,,33,,,,,,,,53,,
What Is Love,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Confetti (feat. Saweetie),Little Mix,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,
Fake & True,TWICE,,,,,,,,,,,,,,,,,,,,18,,15,,,,,,20,,,,22,,,,,,,,,,,,,,,,,,,,,,
Wrecking Ball,Miley Cyrus,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,
FIESTA,IZ*ONE,,,9,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marjorie,Taylor Swift,,,,5,,,,,,,,,,20,,,,,,,,21,,54,,,,,,,,,,,,,36,,,,,,53,58,,,,,,,,,,
Easy on Me,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,,,,,24,78,,,,
no body no crime (feat. HAIM),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,42,,,,,,,64,,,,,,,,87,,
I Like It,Cardi B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
gold rush,Taylor Swift,,,,6,5,15,,,36,,,9,,29,,,,,,,,38,,58,22,,,,,,,,,,,,44,,,,,,,66,,,,,,,,89,,
Sober II (Melodrama),Lorde,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,66,19,,,42,,,,,,,,,,,,,,,,59,,,,,
my tears ricochet,Taylor Swift,,,,8,7,1,,,1,,,,1,,,,,,,,,,,,,,,,23,,24,,,,,,,,,,,,,,,,,,,68,,,,19
Love the Way You Lie,Eminem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
London Boy,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,36,,,,,
hope ur ok,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,7,15,,,,26,42,,,24,,,,20,,,45,,,,,,,,,,,,28,,,62
Innocent,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,38,,,,,,,,,,,,,
FEVER,Mook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
All Night,Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,
Toxic,Britney Spears,,,,,,,,,,,,,,,,,16,27,,,,,,,,,,25,35,,,,,36,,,,70,,,,,,,,,,,,,,,85,45
Girlfriend,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,72
Mary's Song (Oh My My My),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,55,,,17,,
Eclipse,Loona,,,,,,,8,,38,,,,,,,,,32,,,,,,,,20,,,,,,,,57,,,,,,,,,,,,,,,,,,,,
Babe (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,9,9,,5,7,34
King of My Heart,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,27,,,,,,,,,,
All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,10,11,7,,,8,37
TiK ToK,Kesha,,,3,,,,,,,,17,,,,14,,,,,,,,,,,,33,,,,,,65,,,,,,,,,,,,,,,,,,,,84,
Ridin',NCT DREAM,,,,,10,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,
Vagina,cupcakKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
Physical,Dua Lipa,,,,,13,,,,,,,,,,,,,,,,17,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank Space,Taylor Swift,,,,,,,,,,,,,,,,,,22,50,,,41,,,,,,,,,,36,55,,27,,,,72,,35,,43,12,8,,,,,37,,,60,
I Love You Jesus,Trisha Paytas,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,Taylor Swift,,,,,,,,,,,,11,,,,,,,,,,33,,,24,,,,,,,,,,,33,,,,,48,6,,,,,,,35,,8,,,
If I'm Being Honest,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10,,,,6,,,,,,,,,
Formation,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,51,,,51,,,,,,,,,,,52
I Knew You Were Trouble (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,26,,40,,
Fight Song,Rachel Platten,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,2,,,,,,,10,,,32,42,,,,,,,,,82,
In The Middle,dodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,41,,,,55,,,,,,43,,,,,,,,,71,
Happy,WJSN,,,,,,,,14,33,,,4,,,,,,,,34,,,,,,,,,,,,,,,35,42,,,,,,,,,,,,,,,,,,
Alphabet Boy,Melanie Martinez,,,,,12,,,,,,,,,19,,,,,,,,,,,,,,,22,,,,,,,,,61,,,,,,,,,,,,,,,,
bury a friend,Billie Eilish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,48
Let It Go - From Frozen/Soundtrack Version,Idina Menzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,48,
Nobody's Home,Avril Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
Focus,Ariana Grande,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Horse (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,3,,,6,10,20,,,52,,,,,,,6,,,,,,5,36,,,,,,,,,,,53,,,,29,
Pretty Hurts,Beyoncé,,,,,,,,,,,9,,,,,,,7,20,,18,,,,,,,,,20,,,67,,,,,69,,,,,,,,,,,,,,,,
ONE IN A MILLION,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
Chain,NCT 127,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,
Jump Then Fall (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,91,
Rolling in the Deep,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,22,,,,,
Hear the Sea,Red Velvet,,,,,14,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,
Last Friday Night (T.G.I.F.),Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
Hey Stephen (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,4,,,,12,,,,7,28,,,,,,,,,,,,61,,,,,,,,,,,,54,,,,30,
Story of My Life,One Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,78
Scandal,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,20,,,,,,,,,,,,,,,,,,10,,,
GOOD NIGHT,Dreamcatcher,,,,,,,,13,,,,,,,,,,,,,,30,,,,,,,,,,,,,20,39,,,,,,,,,,,,,,,,,,
Miss Americana & the Heartbreak Prince,Taylor Swift,,,,,,,,,,8,,,,,,,,23,,,,34,17,,34,,,30,,,,,,,,35,,,,,19,,,,,,,,37,,,,,
Pray You Catch Me,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
Really Don't Care,Demi Lovato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,18,,,,,24,,,,,,,,,,,
Roses,Against the Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,
The One That Got Away,Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,18,,,,,,,,,
That’s When (feat. Keith Urban) (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,24,,,,43,,,,,,,,,,,,,49,,,,,,,,,,,,,,,61,,
Build A Bitch,Bella Poarch,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,,,,,
Talk to Me,Red Velvet,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
LLC,Nicki Minaj,,,,,,,,,,,,,,,,,,,,,4,11,4,,,23,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline,Haim & Taylor Swift,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Rings,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,20,,,,,
Cruel Summer,Taylor Swift,,,,,,,,,19,,,,,,,,,,,,,20,,,,,,,,,,,,,,37,,,,50,51,,,,,,,20,,,,,,
FINGERTIP,GFRIEND,,2,12,,,,,,40,,,,,7,6,,,,,19,,,,,,,,,,,,,46,,,40,,,,,,,,,,,,,,,,,,
Lighters,Bad Meets Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,
WAP ft. Megan Thee Stallion,Cardi B,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Attack,Demi Lovato,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,17,23,,,,,,,,,,,,,,,,,,,,
Come & Get It,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,80,,,,,,,,,,,,,65,,
Crazy Sexy Cool,Astro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,,,,,,,,,,,,,58,,,,
Who Says,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,5,,,7,,,,,,,,,29,,
Happily Ever After,Red Velvet,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
...Baby One More Time,Britney Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,23,,,,,,,,,,,,,,,
State of Grace,Taylor Swift,,,,,,5,,2,14,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,45,,,52,,,,,,,,,,
All I Ask,Adele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,39,,,,,
Ancestry,Lena Raine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
All About That Bass,Meghan Trainor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,26,,94
traitor,Olivia Rodrigo,,,,,,,,,,,,,,,,,,,,,,,13,21,27,,,,51,,,,,,,,,,53,46,,,,,,,,,,,,,,69
Waking Up in Vegas,Katy Perry,,,,,,9,,,16,,,,,,,,,,,,,10,,,,,,,,,,,14,,8,,,6,14,25,,,,41,,19,,,,70,22,,67,
Detention,Melanie Martinez,,,,10,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,
Rock Bottom,Hailee Steinfeld,,,,,,,,,,,,,,,,,,,,,,7,,,,,4,19,32,,,,12,,,,,25,32,,,,,,,,,,,,,,,
Hands to Myself,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,21,15,,,,,,,,,,18,44,93
If U Seek Amy,Britney Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,24,,
ghostin,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,4,,2,7,2,,,,7,,,,21,12,,,
Blue Flame,Astro,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,
Girl at Home (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,22,,,53,
Ronan (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,8,13,,,12,83
Unti-Unti,Up Dharma Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Shower,Becky G,,,,,,,,,,3,,,,,,,,18,44,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
Airplanes (feat. Hayley Williams),B.o.B,,,,,,,,,,,,,,,,,,12,12,,9,,,,,,,,,,,,,,,,,,67,,,,,40,,,,,,,,,,
Unconditionally,Katy Perry,,,,,,,,,,,14,3,,,,,,28,48,32,,,,,,,,,34,,,,68,8,,,,,,20,,,,,,,,,,35,,,,58
Simon Says,NCT 127,,,,,,,,,,,,,,11,1,,,,4,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
Hi High,Loona,,,,,,,,,,,,,,,,,,,,,,9,,,,2,21,,,,,41,,53,,,34,,,,,,,,,,,,,,,44,,
Fifteen (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,5,,6,,11,,,,53,29,,,,,,,,,,,,63,,,,,,,,,,17,,,,,,31,
Ladies Night,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
You’re Not Sorry (Taylor’s Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,5,5,,,23,17,,,,,,,,,,,,57,,,,,,,,,,,,50,,,57,25,
