Week,Position,Rise/Fall,Song,Artist,Album,Total Points,Streams Points,Sales Points,Airplay Points
2024-03-22,99,-26,When I Come Around,Green Day,Green Day,10,5k,3k,2k
2024-03-22,100,RE,Arms Unfolding,dodie,dodie,10,5k,3k,2k
2024-03-29,1,+4,Nice Guys Finish Last,Green Day,Green Day,186,115k,69k,2k
2024-03-29,2,=,Uptight,Green Day,Green Day,160,100k,54k,6k
2024-03-29,3,+8,Extraordinary Girl / Letterbomb,Green Day,Green Day,150,100k,30k,20k
2024-03-29,4,=,Scattered,Green Day,Green Day,138,85k,51k,2k
2024-03-29,5,+5,Wake Me Up When September Ends,Green Day,Green Day,90,55k,33k,2k
2024-03-29,6,-5,All the Time,Green Day,Green Day,106,65k,39k,2k
2024-03-29,7,=,Haushinka,Green Day,Green Day,105,65k,36k,4k
2024-03-29,8,+1,Hitchin' a Ride,Green Day,Green Day,80,50k,24k,6k
2024-03-29,9,-3,Prosthetic Head,Green Day,Green Day,98,60k,36k,2k
2024-03-29,10,-2,Jinx,Green Day,Green Day,98,60k,36k,2k
2024-03-29,11,+2,Dead!,My Chemical Romance,My Chemical Romance,66,40k,24k,2k
2024-03-29,12,+5,Look Ma No Brains!,Green Day,Green Day,80,50k,24k,6k
2024-03-29,13,+3,1981,Green Day,Green Day,34,20k,12k,2k
2024-03-29,14,+14,Style (Taylor's Version),Taylor Swift,Taylor Swift,73,45k,24k,4k
2024-03-29,15,=,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,56,35k,15k,6k
2024-03-29,16,RE,Not What I Meant (feat. Lewis Watson),dodie,dodie,59,40k,9k,10k
2024-03-29,17,+6,The End.,My Chemical Romance,My Chemical Romance,34,20k,12k,2k
2024-03-29,18,+22,Whatsername,Green Day,Green Day,42,25k,15k,2k
2024-03-29,19,+8,Good Time,Owl City,Owl City,42,25k,15k,2k
2024-03-29,20,+17,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,65,40k,21k,4k
2024-03-29,21,+9,Governator,Green Day,Green Day,42,25k,15k,2k
2024-03-29,22,+9,Shoplifter,Green Day,Green Day,42,25k,15k,2k
2024-03-29,23,+11,Too Much Too Soon,Green Day,Green Day,42,25k,15k,2k
2024-03-29,24,+8,Homecoming,Green Day,Green Day,42,25k,15k,2k
2024-03-29,25,-13,Nobody's Home,Avril Lavigne,Avril Lavigne,42,25k,15k,2k
2024-03-29,26,-23,Geek Stink Breath,Green Day,Green Day,72,45k,21k,6k
2024-03-29,27,+11,Helena,My Chemical Romance,My Chemical Romance,58,35k,21k,2k
2024-03-29,28,-14,Mobile,Avril Lavigne,Avril Lavigne,34,20k,12k,2k
2024-03-29,29,RE,Excuse,C418,C418,82,50k,30k,2k
2024-03-29,30,RE,Minecraft,C418,C418,82,50k,30k,2k
2024-03-29,31,RE,Key,C418,C418,82,50k,30k,2k
2024-03-29,32,RE,Dog,C418,C418,74,45k,27k,2k
2024-03-29,33,RE,Sweden,C418,C418,74,45k,27k,2k
2024-03-29,34,+21,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,58,35k,21k,2k
2024-03-29,35,RE,Droopy Likes Your Face,C418,C418,74,45k,27k,2k
2024-03-29,36,RE,Droopy Likes Ricochet,C418,C418,74,45k,27k,2k
2024-03-29,37,RE,Beginning,C418,C418,74,45k,27k,2k
2024-03-29,38,RE,Danny,C418,C418,74,45k,27k,2k
2024-03-29,39,+5,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,50,30k,18k,2k
2024-03-29,40,+14,Teenagers,My Chemical Romance,My Chemical Romance,50,30k,18k,2k
2024-03-29,41,+19,I Don't Love You,My Chemical Romance,My Chemical Romance,50,30k,18k,2k
2024-03-29,42,-7,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-03-29,43,-10,Breakaway,Kelly Clarkson,Kelly Clarkson,50,30k,18k,2k
2024-03-29,44,-26,Forever & Always (Taylor’s Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-03-29,45,+27,She,dodie,Green Day,41,25k,12k,4k
2024-03-29,46,+10,Uptown Girl,Westlife,Westlife,50,30k,18k,2k
2024-03-29,47,+19,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,50,30k,18k,2k
2024-03-29,48,-23,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,42,25k,15k,2k
2024-03-29,49,-20,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,34,20k,12k,2k
2024-03-29,50,+38,Strange Days Are Here to Stay,Green Day,Green Day,26,15k,9k,2k
2024-03-29,51,+44,Goodnight Adeline,Green Day,Green Day,26,15k,9k,2k
2024-03-29,52,+9,Jesus of Suburbia,Green Day,Green Day,34,20k,12k,2k
2024-03-29,53,+15,HUMAN,dodie,dodie,33,20k,9k,4k
2024-03-29,54,RE,Monster,dodie,dodie,26,15k,9k,2k
2024-03-29,55,+39,Coma City,Green Day,Green Day,34,20k,12k,2k
2024-03-29,56,RE,Same Ground,Kitchie Nadal,Kitchie Nadal,32,20k,6k,6k
2024-03-29,57,-38,American Idiot,Green Day,Green Day,34,20k,12k,2k
2024-03-29,58,+22,burned out,dodie,dodie,34,20k,12k,2k
2024-03-29,59,-20,My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson,42,25k,15k,2k
2024-03-29,60,-15,Because of You,Kelly Clarkson,Kelly Clarkson,42,25k,15k,2k
2024-03-29,61,RE,Waiting,Green Day,Green Day,18,10k,6k,2k
2024-03-29,62,RE,Macy's Day Parade,Green Day,Green Day,18,10k,6k,2k
2024-03-29,63,RE,Minority,Green Day,Green Day,18,10k,6k,2k
2024-03-29,64,-43,Redundant,Green Day,Green Day,18,10k,6k,2k
2024-03-29,65,-45,Basket Case,Green Day,Green Day,26,15k,9k,2k
2024-03-29,66,-3,Give Me Novacaine / She's a Rebel,Green Day,Green Day,42,25k,15k,2k
2024-03-29,67,-3,Are We the Waiting / St. Jimmy,Green Day,Green Day,42,25k,15k,2k
2024-03-29,68,+1,If I'm Being Honest,dodie,dodie,26,15k,9k,2k
2024-03-29,69,RE,Stray Heart,Green Day,Green Day,18,10k,6k,2k
2024-03-29,70,RE,X-Kid,Green Day,Green Day,18,10k,6k,2k
2024-03-29,71,RE,Bang Bang,Green Day,Green Day,42,25k,15k,2k
2024-03-29,72,+19,Jackass,Green Day,Green Day,26,15k,9k,2k
2024-03-29,73,-32,Good Riddance (Time of Your Life),Green Day,Green Day,18,10k,6k,2k
2024-03-29,74,-23,Reject,Green Day,Green Day,18,10k,6k,2k
2024-03-29,75,-23,Walking Alone,Green Day,Green Day,18,10k,6k,2k
2024-03-29,76,-34,Platypus (I Hate You),Green Day,Green Day,18,10k,6k,2k
2024-03-29,77,-24,Worry Rock,Green Day,Green Day,18,10k,6k,2k
2024-03-29,78,+5,She,Green Day,Green Day,26,15k,9k,2k
2024-03-29,79,-6,Misery,Green Day,Green Day,18,10k,6k,2k
2024-03-29,80,-2,Blood Sex and Booze,Green Day,Green Day,18,10k,6k,2k
2024-03-29,81,-33,King for a Day,Green Day,Green Day,18,10k,6k,2k
2024-03-29,82,-33,Take Back,Green Day,Green Day,18,10k,6k,2k
2024-03-29,83,-33,Last Ride In,Green Day,Green Day,18,10k,6k,2k
2024-03-29,84,RE,Saviors,Green Day,Green Day,26,15k,9k,2k
2024-03-29,85,-10,21 Guns,Green Day,Green Day,34,20k,12k,2k
2024-03-29,86,+14,Arms Unfolding,dodie,dodie,33,20k,9k,4k
2024-03-29,87,RE,Revolution Radio,Green Day,Green Day,42,25k,15k,2k
2024-03-29,88,-52,The Grouch,Green Day,Green Day,18,10k,6k,2k
2024-03-29,89,RE,Corvette Summer,Green Day,Green Day,26,15k,9k,2k
2024-03-29,90,-25,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,34,20k,12k,2k
2024-03-29,91,-10,Hold On,Green Day,Green Day,18,10k,6k,2k
2024-03-29,92,-10,Castaway,Green Day,Green Day,18,10k,6k,2k
2024-03-29,93,-16,Church on Sunday,Green Day,Green Day,18,10k,6k,2k
2024-03-29,94,-23,Warning,Green Day,Green Day,18,10k,6k,2k
2024-03-29,95,-3,Walking Contradiction,Green Day,Green Day,26,15k,9k,2k
2024-03-29,96,RE,Living in the '20s,Green Day,Green Day,18,10k,6k,2k
2024-03-29,97,-73,Before the Lobotomy,Green Day,Green Day,26,15k,9k,2k
2024-03-29,98,-1,Bobby Sox,Green Day,Green Day,26,15k,9k,2k
2024-03-29,99,RE,Father to a Son,Green Day,Green Day,18,10k,6k,2k
2024-03-29,100,RE,Graffitia,Green Day,Green Day,34,20k,12k,2k
2024-04-05,1,+11,Look Ma No Brains!,Green Day,Green Day,160,115k,39k,6k
2024-04-05,2,=,Uptight,Green Day,Green Day,65,40k,21k,4k
2024-04-05,3,-2,Nice Guys Finish Last,Green Day,Green Day,74,45k,27k,2k
2024-04-05,4,+2,All the Time,Green Day,Green Day,58,35k,21k,2k
2024-04-05,5,+4,Prosthetic Head,Green Day,Green Day,66,40k,24k,2k
2024-04-05,6,-2,Scattered,Green Day,Green Day,58,35k,21k,2k
2024-04-05,7,-2,Wake Me Up When September Ends,Green Day,Green Day,98,65k,15k,18k
2024-04-05,8,-1,Haushinka,Green Day,Green Day,58,35k,21k,2k
2024-04-05,9,+1,Jinx,Green Day,Green Day,58,35k,21k,2k
2024-04-05,10,+16,Geek Stink Breath,Green Day,Green Day,58,40k,12k,6k
2024-04-05,11,-3,Hitchin' a Ride,Green Day,Green Day,58,35k,21k,2k
2024-04-05,12,RE,Fire Ready Aim,Green Day,Green Day,115,75k,24k,16k
2024-04-05,13,RE,Kitsch,IVE,IVE,102,70k,6k,26k
2024-04-05,14,-1,1981,Green Day,Green Day,56,35k,15k,6k
2024-04-05,15,RE,Among Us in Real Life,Rebecca Zamolo,Rebecca Zamolo,93,70k,9k,14k
2024-04-05,16,RE,¿Viva la Gloria? (Little Girl),Green Day,Green Day,82,55k,21k,6k
2024-04-05,17,+47,Redundant,Green Day,Green Day,42,25k,15k,2k
2024-04-05,18,+79,Before the Lobotomy,Green Day,Green Day,70,45k,15k,10k
2024-04-05,19,-16,Extraordinary Girl / Letterbomb,Green Day,Green Day,34,20k,12k,2k
2024-04-05,20,-5,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-05,21,+56,Worry Rock,Green Day,Green Day,48,30k,12k,6k
2024-04-05,22,RE,I Wish You Would (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-04-05,23,RE,Red (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-04-05,24,RE,Treacherous (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-05,25,RE,Cancer,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-05,26,+1,Helena,My Chemical Romance,My Chemical Romance,50,30k,18k,2k
2024-04-05,27,RE,All Too Well (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-04-05,28,+60,The Grouch,Green Day,Green Day,34,20k,12k,2k
2024-04-05,29,+44,Good Riddance (Time of Your Life),Green Day,Green Day,34,20k,12k,2k
2024-04-05,30,+51,King for a Day,Green Day,Green Day,34,20k,12k,2k
2024-04-05,31,+51,Take Back,Green Day,Green Day,34,20k,12k,2k
2024-04-05,32,+42,Reject,Green Day,Green Day,34,20k,12k,2k
2024-04-05,33,+42,Walking Alone,Green Day,Green Day,34,20k,12k,2k
2024-04-05,34,+49,Last Ride In,Green Day,Green Day,34,20k,12k,2k
2024-04-05,35,+41,Platypus (I Hate You),Green Day,Green Day,34,20k,12k,2k
2024-04-05,36,RE,Disenchanted,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-05,37,RE,House of Wolves,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-05,38,RE,The Sharpest Lives,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-05,39,RE,This Is How I Disappear,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-05,40,-29,Dead!,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-05,41,RE,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,Taylor Swift,57,35k,18k,4k
2024-04-05,42,+15,American Idiot,Green Day,Green Day,34,20k,12k,2k
2024-04-05,43,+42,21 Guns,Green Day,Green Day,58,35k,21k,2k
2024-04-05,44,RE,Last of the American Girls,Green Day,Green Day,58,35k,21k,2k
2024-04-05,45,RE,The Static Age,Green Day,Green Day,58,35k,21k,2k
2024-04-05,46,+19,Basket Case,Green Day,Green Day,41,25k,12k,4k
2024-04-05,47,RE,Begin Again (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-05,48,-27,Governator,Green Day,Green Day,34,20k,12k,2k
2024-04-05,49,-27,Shoplifter,Green Day,Green Day,34,20k,12k,2k
2024-04-05,50,-27,Too Much Too Soon,Green Day,Green Day,34,20k,12k,2k
2024-04-05,51,-33,Whatsername,Green Day,Green Day,34,20k,12k,2k
2024-04-05,52,-28,Homecoming,Green Day,Green Day,34,20k,12k,2k
2024-04-05,53,-3,Strange Days Are Here to Stay,Green Day,Green Day,42,25k,15k,2k
2024-04-05,54,-3,Goodnight Adeline,Green Day,Green Day,42,25k,15k,2k
2024-04-05,55,RE,State of Grace (Taylor's Version),Taylor Swift,Taylor Swift,49,30k,15k,4k
2024-04-05,56,-4,Jesus of Suburbia,Green Day,Green Day,34,20k,12k,2k
2024-04-05,57,-23,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,41,25k,12k,4k
2024-04-05,58,RE,Forever Now,Green Day,Green Day,50,35k,9k,6k
2024-04-05,59,+37,Living in the '20s,Green Day,Green Day,42,25k,15k,2k
2024-04-05,60,-5,Coma City,Green Day,Green Day,42,25k,15k,2k
2024-04-05,61,RE,22 (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-05,62,+1,Minority,Green Day,Green Day,26,15k,9k,2k
2024-04-05,63,RE,She's So Mean,Matchbox Twenty,Matchbox Twenty,45,30k,3k,12k
2024-04-05,64,RE,Suzie Chapstick,Green Day,Green Day,42,25k,15k,2k
2024-04-05,65,+25,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,34,20k,12k,2k
2024-04-05,66,-4,Macy's Day Parade,Green Day,Green Day,26,15k,9k,2k
2024-04-05,67,-6,Waiting,Green Day,Green Day,26,15k,9k,2k
2024-04-05,68,+21,Corvette Summer,Green Day,Green Day,42,25k,15k,2k
2024-04-05,69,RE,The American Dream Is Killing Me,Green Day,Green Day,42,25k,15k,2k
2024-04-05,70,-4,Give Me Novacaine / She's a Rebel,Green Day,Green Day,34,20k,12k,2k
2024-04-05,71,-4,Are We the Waiting / St. Jimmy,Green Day,Green Day,34,20k,12k,2k
2024-04-05,72,-58,Style (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-04-05,73,RE,Sugar Youth,Green Day,Green Day,42,25k,15k,2k
2024-04-05,74,RE,Brain Stew,Green Day,Green Day,41,25k,12k,4k
2024-04-05,75,+20,Walking Contradiction,Green Day,Green Day,34,20k,12k,2k
2024-04-05,76,+24,Graffitia,Green Day,Green Day,42,25k,15k,2k
2024-04-05,77,RE,Meet Me on the Roof,Green Day,Green Day,42,25k,15k,2k
2024-04-05,78,RE,Oh Yeah!,Green Day,Green Day,42,25k,15k,2k
2024-04-05,79,RE,Father of All...,Green Day,Green Day,42,25k,15k,2k
2024-04-05,80,RE,Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-05,81,RE,Murder City,Green Day,Green Day,42,25k,15k,2k
2024-04-05,82,RE,Last Night on Earth,Green Day,Green Day,42,25k,15k,2k
2024-04-05,83,RE,Jaded,Green Day,Green Day,42,25k,15k,2k
2024-04-05,84,RE,Dilemma,Green Day,Green Day,42,25k,15k,2k
2024-04-05,85,RE,One Eyed Bastard,Green Day,Green Day,42,25k,15k,2k
2024-04-05,86,+12,Bobby Sox,Green Day,Green Day,42,25k,15k,2k
2024-04-05,87,RE,Lips of an Angel,Hinder,Hinder,31,20k,3k,8k
2024-04-05,88,-49,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-05,89,-72,The End.,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-05,90,-6,Saviors,Green Day,Green Day,34,20k,12k,2k
2024-04-05,91,+8,Father to a Son,Green Day,Green Day,34,20k,12k,2k
2024-04-05,92,-14,She,Green Day,Green Day,34,20k,12k,2k
2024-04-05,93,-23,X-Kid,Green Day,Green Day,33,20k,9k,4k
2024-04-05,94,-46,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-04-05,95,-54,I Don't Love You,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-05,96,RE,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-04-05,97,RE,Stuck With Me,Green Day,Green Day,34,20k,12k,2k
2024-04-05,98,-58,Teenagers,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-05,99,RE,You Know What They Do to Guys Like Us in Prison,My Chemical Romance,My Chemical Romance,34,20k,12k,2k
2024-04-05,100,RE,The Ghost of You,My Chemical Romance,My Chemical Romance,34,20k,12k,2k
2024-04-12,1,+1,Uptight,Green Day,Green Day,97,60k,33k,4k
2024-04-12,2,+2,All the Time,Green Day,Green Day,90,55k,33k,2k
2024-04-12,3,+2,Prosthetic Head,Green Day,Green Day,82,50k,30k,2k
2024-04-12,4,+4,Haushinka,Green Day,Green Day,74,45k,27k,2k
2024-04-12,5,+4,Jinx,Green Day,Green Day,74,45k,27k,2k
2024-04-12,6,+46,Homecoming,Green Day,Green Day,122,75k,45k,2k
2024-04-12,7,-4,Nice Guys Finish Last,Green Day,Green Day,42,25k,15k,2k
2024-04-12,8,+43,Whatsername,Green Day,Green Day,114,70k,42k,2k
2024-04-12,9,+47,Jesus of Suburbia,Green Day,Green Day,113,70k,39k,4k
2024-04-12,10,+38,Governator,Green Day,Green Day,98,60k,36k,2k
2024-04-12,11,+38,Shoplifter,Green Day,Green Day,98,60k,36k,2k
2024-04-12,12,+38,Too Much Too Soon,Green Day,Green Day,98,60k,36k,2k
2024-04-12,13,-7,Scattered,Green Day,Green Day,25,15k,6k,4k
2024-04-12,14,-13,Look Ma No Brains!,Green Day,Green Day,66,45k,15k,6k
2024-04-12,15,+4,Extraordinary Girl / Letterbomb,Green Day,Green Day,34,20k,12k,2k
2024-04-12,16,+4,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,58,35k,21k,2k
2024-04-12,17,+4,Worry Rock,Green Day,Green Day,74,45k,27k,2k
2024-04-12,18,-8,Geek Stink Breath,Green Day,Green Day,18,10k,6k,2k
2024-04-12,19,-8,Hitchin' a Ride,Green Day,Green Day,34,20k,12k,2k
2024-04-12,20,+27,Begin Again (Taylor's Version),Taylor Swift,Taylor Swift,64,40k,18k,6k
2024-04-12,21,RE,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-04-12,22,+74,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Taylor Swift,64,40k,18k,6k
2024-04-12,23,+17,Dead!,My Chemical Romance,My Chemical Romance,42,25k,15k,2k
2024-04-12,24,+63,Lips of an Angel,Hinder,Hinder,66,45k,9k,12k
2024-04-12,25,-18,Wake Me Up When September Ends,Green Day,Green Day,26,15k,9k,2k
2024-04-12,26,RE,Buddy Holly,Weezer,Weezer,68,45k,15k,8k
2024-04-12,27,-11,¿Viva la Gloria? (Little Girl),Green Day,Green Day,42,25k,15k,2k
2024-04-12,28,-11,Redundant,Green Day,Green Day,40,25k,9k,6k
2024-04-12,29,RE,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,30,-3,All Too Well (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-04-12,31,RE,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,32,-8,Treacherous (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,33,+10,21 Guns,Green Day,Green Day,42,25k,15k,2k
2024-04-12,34,RE,Mobile,Avril Lavigne,Avril Lavigne,33,20k,9k,4k
2024-04-12,35,+10,The Static Age,Green Day,Green Day,42,25k,15k,2k
2024-04-12,36,RE,Holy Ground (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,37,RE,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,38,RE,Stay Stay Stay (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,39,+22,22 (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-04-12,40,-14,Helena,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-12,41,-23,Before the Lobotomy,Green Day,Green Day,34,20k,12k,2k
2024-04-12,42,RE,Starlight (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,43,RE,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,44,RE,The Lucky One (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,45,RE,Forever & Always (Taylor’s Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-04-12,46,-23,Red (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,47,RE,East Jesus Nowhere,Green Day,Green Day,34,20k,12k,2k
2024-04-12,48,+33,Murder City,Green Day,Green Day,34,20k,12k,2k
2024-04-12,49,+33,Last Night on Earth,Green Day,Green Day,34,20k,12k,2k
2024-04-12,50,RE,Know Your Enemy,Green Day,Green Day,34,20k,12k,2k
2024-04-12,51,-7,Last of the American Girls,Green Day,Green Day,34,20k,12k,2k
2024-04-12,52,-30,I Wish You Would (Taylor's Version),Taylor Swift,Taylor Swift,40,25k,9k,6k
2024-04-12,53,RE,Come Back...Be Here (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-04-12,54,-8,Basket Case,Green Day,Green Day,26,15k,9k,2k
2024-04-12,55,RE,Tell Me Why (Taylor’s Version),Taylor Swift,Taylor Swift,40,25k,9k,6k
2024-04-12,56,-1,State of Grace (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,57,RE,Nobody's Home,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-04-12,58,RE,Breakaway,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-04-12,59,-2,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,60,+34,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-04-12,61,RE,Take on Me,a-ha,a-ha,38,25k,3k,10k
2024-04-12,62,+26,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,63,+35,Teenagers,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,64,+31,I Don't Love You,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,65,RE,My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-04-12,66,RE,Because of You,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-04-12,67,+22,The End.,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,68,-26,American Idiot,Green Day,Green Day,10,5k,3k,2k
2024-04-12,69,RE,Uptown Girl,Westlife,Westlife,18,10k,6k,2k
2024-04-12,70,RE,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,18,10k,6k,2k
2024-04-12,71,+1,Style (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-04-12,72,RE,Out of the Woods (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-04-12,73,RE,Vampire Money,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-12,74,RE,The Kids from Yesterday,My Chemical Romance,My Chemical Romance,26,15k,9k,2k
2024-04-12,75,-5,Give Me Novacaine / She's a Rebel,Green Day,Green Day,10,5k,3k,2k
2024-04-12,76,-5,Are We the Waiting / St. Jimmy,Green Day,Green Day,10,5k,3k,2k
2024-04-12,77,RE,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,My Chemical Romance,25,15k,6k,4k
2024-04-12,78,-50,The Grouch,Green Day,Green Day,10,5k,3k,2k
2024-04-12,79,-14,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,10,5k,3k,2k
2024-04-12,80,-66,1981,Green Day,Green Day,10,5k,3k,2k
2024-04-12,81,RE,Planetary (GO!),My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,82,-53,Good Riddance (Time of Your Life),Green Day,Green Day,10,5k,3k,2k
2024-04-12,83,-53,King for a Day,Green Day,Green Day,10,5k,3k,2k
2024-04-12,84,-53,Take Back,Green Day,Green Day,10,5k,3k,2k
2024-04-12,85,-53,Reject,Green Day,Green Day,10,5k,3k,2k
2024-04-12,86,-53,Walking Alone,Green Day,Green Day,10,5k,3k,2k
2024-04-12,87,-53,Last Ride In,Green Day,Green Day,10,5k,3k,2k
2024-04-12,88,-53,Platypus (I Hate You),Green Day,Green Day,10,5k,3k,2k
2024-04-12,89,RE,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-04-12,90,RE,Welcome to Paradise,Green Day,Green Day,10,5k,3k,2k
2024-04-12,91,RE,Revolution Radio,Green Day,Green Day,10,5k,3k,2k
2024-04-12,92,RE,Bang Bang,Green Day,Green Day,10,5k,3k,2k
2024-04-12,93,RE,SING,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,94,RE,Bulletproof Heart,My Chemical Romance,My Chemical Romance,18,10k,6k,2k
2024-04-12,95,RE,Better Than Revenge (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-04-12,96,-34,Minority,Green Day,Green Day,10,5k,3k,2k
2024-04-12,97,RE,New Romantics (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-04-12,98,-38,Coma City,Green Day,Green Day,10,5k,3k,2k
2024-04-12,99,-33,Macy's Day Parade,Green Day,Green Day,10,5k,3k,2k
2024-04-12,100,-33,Waiting,Green Day,Green Day,10,5k,3k,2k
2024-04-19,1,=,Uptight,Green Day,Green Day,146,90k,54k,2k
2024-04-19,2,=,All the Time,Green Day,Green Day,122,75k,45k,2k
2024-04-19,3,+4,Nice Guys Finish Last,Green Day,Green Day,89,55k,30k,4k
2024-04-19,4,+13,Worry Rock,Green Day,Green Day,122,75k,45k,2k
2024-04-19,5,+80,Reject,Green Day,Green Day,122,75k,45k,2k
2024-04-19,6,+80,Walking Alone,Green Day,Green Day,122,75k,45k,2k
2024-04-19,7,-1,Homecoming,Green Day,Green Day,113,70k,39k,4k
2024-04-19,8,+6,Look Ma No Brains!,Green Day,Green Day,56,35k,15k,6k
2024-04-19,9,-1,Whatsername,Green Day,Green Day,82,50k,30k,2k
2024-04-19,10,-1,Jesus of Suburbia,Green Day,Green Day,82,50k,30k,2k
2024-04-19,11,+4,Extraordinary Girl / Letterbomb,Green Day,Green Day,56,35k,15k,6k
