Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2025-04-11,47,'-4,43,False,69,-0.14,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,24,19,1,28,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png
2025-04-11,48,'+1,49,False,69,-0.01,Juno,Sabrina Carpenter,Short n' Sweet,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,21,22,7,19,https://lastfm.freetls.fastly.net/i/u/300x300/9ba24340be42673d5301c97cc5259a5e.png
2025-04-11,49,'-18,31,False,69,-0.34,Stockholm Syndrome,blink-182,blink-182,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,32,27,12,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,50,'-3,47,False,66,-0.12,San Diego,blink-182,California (Deluxe Edition),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,23,17,47,3,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
2025-04-11,51,'+13,64,True,60,0.09,You Won't Be Mine,Matchbox Twenty,Mad Season,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,17,9,51,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,52,'+13,65,True,60,0.09,Stop,Matchbox Twenty,Mad Season,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,17,9,52,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,53,'+13,66,True,60,0.09,Leave,Matchbox Twenty,Mad Season,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,17,9,53,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,54,'+13,67,True,60,0.09,Bed of Lies,Matchbox Twenty,Mad Season,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,17,9,54,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,55,RE,--,False,55,--,Keeper,TWICE,Strategy,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,21,1,11,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg
2025-04-11,56,'+4,60,False,54,-0.1,Nice Guys Finish Last,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,18,18,1,64,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2025-04-11,57,RE,--,False,50,--,The Ghost of You,My Chemical Romance,Three Cheers for Sweet Revenge,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,7,15,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png
2025-04-11,58,RE,--,False,50,--,Our Song,Matchbox Twenty,North (Deluxe Edition),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,44,6,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2025-04-11,59,RE,--,False,50,--,Overjoyed,Matchbox Twenty,North (Deluxe Edition),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,45,6,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2025-04-11,60,RE,--,False,50,--,Put Your Hands Up,Matchbox Twenty,North (Deluxe Edition),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,46,6,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2025-04-11,61,RE,--,False,50,--,These Hard Times,Matchbox Twenty,Exile On Mainstream (International),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,48,7,https://lastfm.freetls.fastly.net/i/u/300x300/c65aa56bb4314f4acf4a06c691e3d584.jpg
2025-04-11,62,RE,--,False,50,--,How Far We've Come,Matchbox Twenty,How Far We've Come,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,13,9,https://lastfm.freetls.fastly.net/i/u/300x300/d62502b5e8134403b1f6b997b609e24d.jpg
2025-04-11,63,RE,--,False,50,--,Bright Lights,Matchbox Twenty,More Than You Think You Are,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,14,7,https://lastfm.freetls.fastly.net/i/u/300x300/daa17282a85d8e8f783ca5cd1c873638.jpg
2025-04-11,64,RE,--,False,50,--,Disease,Matchbox Twenty,More Than You Think You Are,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,15,7,https://lastfm.freetls.fastly.net/i/u/300x300/daa17282a85d8e8f783ca5cd1c873638.jpg
2025-04-11,65,RE,--,False,50,--,Unwell,Matchbox Twenty,More Than You Think You Are,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,3,30,https://lastfm.freetls.fastly.net/i/u/300x300/daa17282a85d8e8f783ca5cd1c873638.jpg
2025-04-11,66,NEW,--,True,50,--,How to make your ass bigger,Six Sex,X-sex,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,66,1,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
2025-04-11,67,'+25,92,False,45,0.32,I’m Trying (Not Friends),Maisie Peters,You Signed Up For This,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,11,0,1,27,https://lastfm.freetls.fastly.net/i/u/300x300/1897b73a7f3738702c40a27c84dbca99.jpg
2025-04-11,68,NEW,--,True,42,--,U&ME,Six Sex,X-sex,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,68,1,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
2025-04-11,69,NEW,--,True,42,--,Ahhhhhh,Six Sex,X-sex,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,69,1,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
2025-04-11,70,NEW,--,True,42,--,Bitches like me,Six Sex,X-sex,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,70,1,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
2025-04-11,71,NEW,--,True,42,--,Performance Actitud (Pose),Six Sex,X-sex,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,71,1,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
