Song,Artist,Album Cover,Total Points,Peak,Weeks on Chart,Total Units,Total Airplay,Gain
Jesus of Suburbia,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,2926,10,32,1622,550,16
The Sharpest Lives,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,2918,3,28,1616,360,18
My Life Would Suck Without You,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/6eb2d8d5b34d5744320e1a0e260085d9.png,2884,18,35,1552,480,27
Fresh Out the Slammer,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,2837,1,23,1661,470,131
Before Your Love,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/0fcb0432dc2d1836a43530ee73ce006e.jpg,2822,2,21,1466,250,25
Because of You,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/83a87d3c61d27720cdd083e03d58b8d0.png,2817,13,24,1514,410,27
Scattered,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2778,4,19,1532,410,35
Corvette Summer,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/f574fa1b6a5f8b213d5bff91d4273d29.jpg,2740,13,23,1484,420,38
Holiday / Boulevard of Broken Dreams,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,2734,6,24,1500,380,49
Red (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/b0962b3df3e930c581bc69618d6c3281.jpg,2707,2,22,1748,960,22
Know Your Enemy,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,2697,12,30,1442,440,42
When I Come Around,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/2248e72411992639ffa8ab94ba97a631.jpg,2619,2,20,1402,330,14
Homecoming,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,2615,4,24,1491,430,15
imgonnagetyouback,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,2614,10,20,1418,320,25
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/5d859232fed7488a82d37ecabb232fce.png,2609,10,22,1398,480,14
The Bolter,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,2609,4,20,1475,300,84
The Black Dog,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,2600,3,19,1397,400,18
Platypus (I Hate You),Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2587,13,24,1378,440,32
Welcome to Paradise,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/2248e72411992639ffa8ab94ba97a631.jpg,2569,35,14,1358,580,40
A Moment Like This,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/0fcb0432dc2d1836a43530ee73ce006e.jpg,2564,1,18,1322,250,32
I Knew You Were Trouble (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/b0962b3df3e930c581bc69618d6c3281.jpg,2544,1,24,1573,840,23
Aliens Exist,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/fa585497562506b87fd59b41dfc53ff7.jpg,2455,4,22,1254,230,40
Strange Days Are Here to Stay,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/f574fa1b6a5f8b213d5bff91d4273d29.jpg,2444,12,24,1364,410,40
Sk8er Boi,Avril Lavigne,https://lastfm.freetls.fastly.net/i/u/300x300/2f55e4ac3c60dfbd01d6ac2e5c11ca39.jpg,2438,4,18,1402,370,36
Geek Stink Breath,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/1a2cd1a286cc134cc531b23d727d66cf.jpg,2420,5,19,1373,610,30
Buddy Holly,Weezer,https://lastfm.freetls.fastly.net/i/u/300x300/82dea2ae26de9b443208cf21358c876f.jpg,2330,9,21,1298,370,18
Dance Dance,Fall Out Boy,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png,2317,7,19,1218,250,47
The End.,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,2306,13,26,1242,370,18
Favorite Son,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5f1106fadc9b89166d13295fb0c1ebb5.jpg,2287,2,9,1295,510,31
Miss Independent,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/0fcb0432dc2d1836a43530ee73ce006e.jpg,2263,4,18,1239,250,24
Suffocate,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/0f68409cb0034edd995252e750c252ea.png,2236,6,15,1310,230,10
Adam's Song,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/fa585497562506b87fd59b41dfc53ff7.jpg,2217,7,20,1166,230,18
Mama,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,2215,7,12,1268,340,17
Prosthetic Head,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2193,4,16,1231,370,37
Last of the American Girls,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,2187,17,22,1261,400,25
The Albatross,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg,2168,15,18,1238,300,28
Jinx,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2153,8,18,1224,360,34
She,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/2248e72411992639ffa8ab94ba97a631.jpg,2131,12,15,1210,370,18
Shoplifter,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/b1bc267e9e799d1d9f026e5cf7e03369.jpg,2118,12,16,1198,350,16
Last Ride In,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2114,35,23,1215,480,32
Haushinka,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2077,7,17,1191,330,35
Forever Now,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/85bb7980e17a99a79e70746c62c3f43e.jpg,2063,13,9,1244,320,10
Suzie Chapstick,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/f574fa1b6a5f8b213d5bff91d4273d29.jpg,2055,33,20,1146,410,37
Desensitized,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/0f68409cb0034edd995252e750c252ea.png,2036,7,13,1189,280,25
Governator,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/b1bc267e9e799d1d9f026e5cf7e03369.jpg,2034,11,16,1158,350,14
Behind These Hazel Eyes,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/83a87d3c61d27720cdd083e03d58b8d0.png,2017,18,23,1187,470,51
The Ghost of You,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png,1994,7,14,1120,360,14
