Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-08-13,The One That Got Away,Katy Perry,1,1,1
2021-08-13,Choose Your Battles,Katy Perry,1,1,1
2021-08-13,It Takes Two,Katy Perry,1,1,1
2021-08-13,Spiritual,Katy Perry,1,1,1
2021-08-13,By the Grace of God,Katy Perry,1,1,1
2021-08-13,Double Rainbow,Katy Perry,1,1,1
2021-08-13,This Moment,Katy Perry,1,1,1
2021-08-13,Love Me,Katy Perry,1,1,1
2021-08-13,Ghost,Katy Perry,1,1,1
2021-08-13,International Smile,Katy Perry,1,1,1
2021-08-13,This Is How We Do,Katy Perry,1,1,1
2021-08-13,Dark Horse,Katy Perry,1,1,1
2021-08-13,Walking on Air,Katy Perry,1,1,1
2021-08-13,Birthday,Katy Perry,1,1,1
2021-08-13,Legendary Lovers,Katy Perry,1,1,1
2021-08-13,get well soon,Ariana Grande,1,1,1
2021-08-20,New Romantics,Taylor Swift,1,1,1
2021-08-20,You Are in Love,Taylor Swift,1,1,1
2021-08-20,Clean,Taylor Swift,1,1,1
2021-08-20,Wildest Dreams,Taylor Swift,1,1,1
2021-08-20,I Wish You Would,Taylor Swift,1,1,1
2021-08-20,Shake It Off,Taylor Swift,2,2,1
2021-08-20,All You Had to Do Was Stay,Taylor Swift,1,1,1
2021-08-20,Out of the Woods,Taylor Swift,1,1,1
2021-08-20,Style,Taylor Swift,1,1,1
2021-08-20,Blank Space,Taylor Swift,1,1,1
2021-08-20,Welcome to New York,Taylor Swift,1,1,1
2021-08-20,Worth It (feat. Kid Ink),Fifth Harmony,1,1,1
2021-08-20,Sledgehammer,Fifth Harmony,1,1,1
2021-08-20,BO$$,Fifth Harmony,1,1,1
2021-08-20,Hot n Cold,Katy Perry,1,1,1
2021-08-20,Ur So Gay,Katy Perry,1,1,1
2021-08-20,Waking Up in Vegas,Katy Perry,1,1,1
2021-08-20,I Kissed a Girl,Katy Perry,1,1,1
2021-08-20,One of the Boys,Katy Perry,1,1,1
2021-08-20,Right Here,THE BOYZ,1,1,1
2021-08-20,KeePer (Prod. PARK KYUNG),THE BOYZ,1,1,1
2021-08-20,Giddy Up,THE BOYZ,1,1,1
2021-08-20,Boy,THE BOYZ,1,1,1
2021-08-20,Can't You See Me?,TOMORROW X TOGETHER,1,1,1
2021-08-20,9 and Three Quarters - Run Away,TOMORROW X TOGETHER,1,1,1
2021-08-20,Nap of a star,TOMORROW X TOGETHER,1,1,1
2021-08-20,CROWN,TOMORROW X TOGETHER,1,1,1
2021-08-20,THRILL RIDE,THE BOYZ,1,1,1
2021-08-20,Mood Ring,Lorde,2,2,1
2021-08-20,Renegade - Pop Version,Big Red Machine,1,1,1
2021-08-20,Queendom,Red Velvet,2,2,1
2021-08-20,Butterflies,Red Velvet,1,1,1
2021-08-20,Hear the Sea,Red Velvet,1,1,1
2021-08-20,Mojito,Red Velvet,1,1,1
2021-08-20,Zoo,Red Velvet,1,1,1
2021-08-20,You Better Know,Red Velvet,1,1,1
2021-08-20,Red Flavor,Red Velvet,2,2,1
2021-08-20,Rumors (feat. Cardi B),Lizzo,1,1,1
2021-08-20,LP,Red Velvet,1,1,1
2021-08-20,Parade,Red Velvet,1,1,1
2021-08-20,Bing Bing,Red Velvet,1,1,1
2021-08-20,Milkshake,Red Velvet,1,1,1
2021-08-20,Sunny Side Up!,Red Velvet,1,1,1
2021-08-20,Zimzalabim,Red Velvet,2,2,1
2021-08-20,BDZ,TWICE,1,1,1
2021-08-20,AFTER MOON,TWICE,1,1,1
2021-08-20,SUNSET,TWICE,1,1,1
2021-08-20,YOUNG & WILD,TWICE,1,1,1
2021-08-20,LALALA,TWICE,1,1,1
2021-08-20,SAY YOU LOVE ME,TWICE,1,1,1
2021-08-20,YES or YES,TWICE,1,1,1
2021-08-20,Unti-Unti,Up Dharma Down,3,3,1
2021-08-20,FEVER,Mook,3,3,1
2021-08-20,SPARK,A.C.E,3,3,1
2021-08-20,coney island,Taylor Swift The National,1,1,1
2021-08-20,Ice Cream (with Selena Gomez),BLACKPINK,1,1,1
2021-08-20,How You Like That,BLACKPINK,1,1,1
2021-08-20,Kill This Love,BLACKPINK,1,1,1
2021-08-20,DDU-DU DDU-DU,BLACKPINK,1,1,1
2021-08-20,AS IF IT'S YOUR LAST,BLACKPINK,1,1,1
2021-08-20,STAY,BLACKPINK,1,1,1
2021-08-20,PLAYING WITH FIRE,BLACKPINK,1,1,1
2021-08-20,WHISTLE,BLACKPINK,1,1,1
